,index,start,arrival,KPrange,Kp,K,InRangeGlobal,InRangeLocal,timingKp,timingK,Onsetdst
47,CME-20240501T063600,2024-05-01T06:36:00,2024-05-04T10:32:00,3.33333 - 5.66667,0.33333333,2,no,no,M,M,H
48,CME-20240503T024800,2024-05-03T02:48:00,2024-05-05T18:11:00,3.66667 - 5.945,1,2,no,no,M,M,H
49,CME-20240503T211700,2024-05-03T21:17:00,2024-05-07T17:20:00,3.0 - 4.5,2.33333333,3,no,yes,FA,H,M
50,CME-20240503T212800,2024-05-03T21:28:00,2024-05-06T18:30:00,3.5 - 5.5,2,2,no,no,M,M,H
51,CME-20240504T065300,2024-05-04T06:53:00,2024-05-06T23:47:00,3.0 - 4.66667,1.66666667,2,no,no,M,M,H
52,CME-20240507T031200,2024-05-07T03:12:00,2024-05-10T14:00:00,2.5 - 4.0,4.66666667,3,no,no,H,H,H
53,CME-20240507T052400,2024-05-07T05:24:00,2024-05-10T14:00:00,3.0 - 4.0,4.66666667,3,no,no,H,H,H
54,CME-20240508T053600,2024-05-08T05:36:00,2024-05-10T17:42:00,6.33333 - 8.33333,8,7,yes,yes,H,H,H
55,CME-20240508T122400,2024-05-08T12:24:00,2024-05-11T00:52:00,6.0 - 8.0,9,7,no,no,H,H,H
56,CME-20240508T191200,2024-05-08T19:12:00,2024-05-10T21:57:00,6.5 - 8.0,8.33333333,7,no,no,H,H,H
57,CME-20240508T222400,2024-05-08T22:24:00,2024-05-10T22:43:00,6.0 - 8.25,9,7,no,no,H,H,H
58,CME-20240509T092400,2024-05-09T09:24:00,2024-05-11T03:05:00,6.0 - 8.2,9,7,no,no,H,H,H
59,CME-20240509T182300,2024-05-09T18:23:00,2024-05-11T23:19:00,5.0 - 7.0,7.66666667,6,no,no,H,H,H
60,CME-20240510T071200,2024-05-10T07:12:00,2024-05-12T10:11:00,5.33333 - 7.33333,4,3,no,no,M,M,H
61,CME-20240511T013600,2024-05-11T01:36:00,2024-05-13T00:58:00,5.0 - 7.0,6.33333333,5,yes,yes,H,H,M
62,CME-20240513T091200,2024-05-13T09:12:00,2024-05-15T11:30:00,0 - 0,2.66666667,2,no,no,H,H,FA
63,CME-20240514T100900,2024-05-14T10:09:00,2024-05-18T00:30:00,2.0 - 3.0,5.33333333,4,no,no,H,H,H
64,CME-20240515T083600,2024-05-15T08:36:00,2024-05-17T18:35:00,3.0 - 7.0,5.33333333,4,yes,yes,H,H,M
65,CME-20240515T103600,2024-05-15T10:36:00,2024-05-19T02:00:00,2.5 - 4.0,1.33333333,1,no,no,M,M,M
66,CME-20240517T042800,2024-05-17T04:28:00,2024-05-20T17:00:00,2.0 - 3.0,0.66666667,1,no,no,H,H,FA
67,CME-20240517T210500,2024-05-17T21:05:00,2024-05-20T16:27:00,4.0 - 7.0,2,2,no,no,M,M,FA
68,CME-20240519T142300,2024-05-19T14:23:00,2024-05-22T23:00:00,2.0 - 4.0,1.33333333,1,no,no,M,H,FA
69,CME-20240519T190900,2024-05-19T19:09:00,2024-05-22T23:00:00,2.0 - 4.0,1.33333333,1,no,no,M,H,FA
70,CME-20240520T201200,2024-05-20T20:12:00,2024-05-23T23:00:00,2.0 - 4.0,4,3,yes,yes,H,H,FA
